iter	Passed	Remaining
399	56520	50444
400	56648	50291
401	56788	50148
402	56943	50020
403	57115	49905
404	57319	49818
405	57495	49706
406	57698	49617
407	57884	49513
408	58037	49381
409	58204	49261
410	58379	49147
411	58537	49018
412	58705	48897
413	58884	48785
414	59019	48638
415	59179	48509
416	59342	48384
417	59522	48272
418	59676	48140
419	59843	48017
420	59999	47885
421	60158	47756
422	60298	47611
423	60452	47477
424	60621	47355
425	60793	47236
426	60940	47096
427	61075	46947
428	61200	46792
429	61330	46639
430	61459	46486
431	61599	46342
432	61723	46185
433	61861	46039
434	62005	45898
435	62153	45759
436	62278	45604
437	62414	45456
438	62576	45328
439	62749	45208
440	62934	45095
441	63079	44955
442	63200	44796
443	63325	44641
444	63460	44493
445	63592	44343
446	63720	44190
447	63848	44038
448	63981	43889
449	64120	43744
450	64259	43599
451	64389	43448
452	64528	43303
453	64668	43159
454	64806	43014
455	64937	42864
456	65070	42715
457	65194	42561
458	65339	42420
459	65466	42268
460	65589	42114
461	65713	41960
462	65852	41815
463	66001	41677
464	66170	41552
465	66341	41427
466	66480	41283
467	66613	41135
468	66760	40995
469	66914	40860
470	67068	40725
471	67227	40592
472	67380	40456
473	67516	40310
474	67662	40170
475	67869	40065
476	68036	39937
477	68195	39804
478	68359	39674
479	68518	39540
480	68665	39400
481	68809	39258
482	68945	39111
483	69078	38963
484	69214	38817
485	69352	38671
486	69492	38527
487	69652	38394
488	69785	38246
489	69913	38095
490	70051	37950
491	70204	37813
492	70349	37672
493	70502	37534
494	70631	37384
495	70769	37239
496	70901	37091
497	71049	36951
498	71191	36808
499	71348	36673
500	71484	36526
501	71624	36382
502	71770	36241
503	71904	36095
504	72058	35958
505	72209	35819
506	72346	35673
507	72488	35530
508	72630	35387
509	72777	35247
510	72919	35104
511	73073	34966
512	73295	34861
513	73437	34718
514	73622	34595
515	73801	34469
516	73960	34333
517	74112	34194
518	74309	34076
519	74489	33950
520	74654	33816
521	74808	33677
522	74965	33540
523	75105	33396
524	75241	33249
525	75400	33112
526	75543	32969
527	75684	32825
528	75822	32679
529	75952	32530
530	76100	32389
531	76266	32255
532	76446	32127
533	76640	32005
534	76783	31861
535	76934	31721
536	77112	31591
537	77282	31459
538	77435	31319
539	77586	31178
540	77769	31050
541	77951	30921
542	78122	30788
543	78250	30638
544	78391	30493
545	78527	30346
546	78666	30201
547	78816	30059
548	78975	29921
