iter	Logloss
264	0.1369971446
265	0.1367712334
266	0.1367542893
267	0.1366687716
268	0.136601671
269	0.1363036865
270	0.136303452
271	0.1360446284
272	0.1358708065
273	0.1357946521
274	0.1357670876
275	0.1356995365
276	0.1355889687
277	0.1355087331
278	0.1354113939
279	0.1353575501
280	0.1351763446
281	0.1350808255
282	0.1350546589
283	0.1348821974
284	0.1347584946
285	0.1347477146
286	0.1346207093
287	0.1345506251
288	0.1344772009
289	0.1343543801
290	0.1342910228
291	0.1341084099
292	0.1340188298
293	0.1339744525
294	0.1338875275
295	0.1338170493
296	0.1338108946
297	0.1334896332
298	0.1332420869
299	0.1332235948
300	0.133082948
301	0.1330434776
302	0.1330362064
303	0.1329093982
304	0.1327743149
305	0.1325922462
306	0.1325530478
307	0.1325121419
308	0.1324373292
309	0.1323160282
310	0.1321992494
311	0.1321571707
312	0.1321508847
313	0.1321455276
314	0.1320491266
315	0.1319225529
316	0.1318269119
317	0.1317076656
318	0.1316817805
319	0.1316777649
320	0.1316671913
321	0.1316511573
322	0.1316310515
323	0.13152145
324	0.1315159333
325	0.1313871173
326	0.1312799457
327	0.1312675614
328	0.1311783565
329	0.1311586541
330	0.1311249255
331	0.1310843949
332	0.1310814865
333	0.130943157
334	0.130839241
335	0.1307266185
336	0.1307071882
337	0.1305973709
338	0.1305496348
339	0.1305445591
340	0.1305339198
341	0.1304181637
342	0.1304123468
343	0.1302856417
344	0.1302712684
345	0.1302641004
346	0.1301742857
347	0.1300871825
348	0.1300739631
349	0.1299898996
350	0.1298626035
351	0.1298572463
352	0.1296733668
353	0.1296228162
354	0.1295757368
355	0.1294900409
356	0.129369528
357	0.1292920132
358	0.129199534
359	0.1290303562
360	0.1290216872
361	0.1288948789
362	0.1287743754
363	0.1287333382
364	0.1286855458
365	0.1285991556
366	0.1285279925
367	0.1284329426
368	0.1283606817
369	0.1282885898
370	0.1281577285
371	0.1280967543
372	0.1280471231
373	0.1280416815
374	0.127971738
375	0.1278411769
376	0.1277578921
377	0.1277060655
378	0.1276832201
379	0.1275946251
380	0.127545416
381	0.1274448682
382	0.1273602981
383	0.127347501
384	0.1271863918
385	0.1271699168
386	0.1271251737
387	0.1270680743
388	0.1270560089
389	0.1269994068
390	0.1269842454
391	0.126982641
392	0.1268927419
393	0.1268659373
394	0.1268479331
395	0.1268127221
396	0.1267532397
397	0.1267219879
398	0.126713469
399	0.1266919934
400	0.1265664517
401	0.1263971802
402	0.1263006666
403	0.1262902807
404	0.1262208626
405	0.1262158526
406	0.1261805103
407	0.1261483203
408	0.1261044122
409	0.126050878
410	0.1259208892
411	0.1259123609
412	0.1258140554
413	0.1257619192
414	0.1255796252
415	0.1254986578
416	0.1254112919
417	0.1253350061
418	0.1252991196
419	0.1252729061
420	0.1251280186
421	0.1250477642
422	0.1249938735
423	0.1249168278
424	0.12480216
425	0.1247527351
426	0.1246925678
427	0.1246589987
428	0.1246542139
429	0.1246428146
430	0.124579373
431	0.1245543979
432	0.1245514519
433	0.1245228928
434	0.1244477329
435	0.1244453686
436	0.124435433
437	0.1243998561
438	0.1243584155
439	0.124334144
440	0.1242579146
441	0.1242331083
442	0.124229074
443	0.1242243924
444	0.1241798369
445	0.1240753861
446	0.124067796
447	0.1239625478
448	0.1239200469
449	0.1238783248
450	0.123854635
451	0.1237646796
452	0.1237229481
453	0.1236934508
454	0.1236612984
455	0.1235992734
456	0.1235775633
457	0.1235714086
458	0.1235421271
459	0.1235315348
460	0.1235217117
461	0.1234978343
462	0.1234256955
463	0.1233444091
464	0.123276783
465	0.1232305856
466	0.1231595632
467	0.1231315765
468	0.123100625
469	0.1230835871
470	0.1230476162
471	0.1230132027
472	0.1229240823
473	0.1228649657
474	0.1228612223
475	0.1228325413
476	0.1227464043
477	0.1227269271
478	0.1226296068
479	0.1225763634
480	0.1225035678
481	0.1224526606
482	0.1223871924
483	0.12238313
484	0.122302885
485	0.1222724683
486	0.1222347898
487	0.1222094488
488	0.1221656157
489	0.1220547195
490	0.1220199776
491	0.1219509911
492	0.1219126747
493	0.1218861891
494	0.1218671153
495	0.1218604822
496	0.1217815413
497	0.1217741388
498	0.1216840051
499	0.1216773532
500	0.1216725965
501	0.121668384
502	0.1215929895
503	0.1215852024
504	0.1215719267
505	0.1215686805
506	0.1215645337
507	0.1215164974
508	0.1214474171
509	0.1213782617
510	0.1213637383
511	0.1212886065
512	0.1212044492
513	0.1211411671
514	0.1211175524
515	0.1211018467
516	0.1210034568
517	0.1209552329
518	0.1208415033
519	0.1208153554
520	0.1207845258
521	0.1207783431
522	0.1207645045
523	0.1206979855
524	0.1206794277
525	0.1206559538
526	0.1206514879
527	0.1206140064
528	0.1205354221
529	0.1205065253
530	0.1204835486
531	0.120480368
532	0.1204627016
533	0.1204189717
534	0.120403829
535	0.1203501447
536	0.1202616341
537	0.1202254849
538	0.1201801788
539	0.1201580652
540	0.1200671059
541	0.1200318762
542	0.1200006245
543	0.1199977348
544	0.1199903417
545	0.1199806875
546	0.1199123953
547	0.1199072727
548	0.1198924584
549	0.1198555211
550	0.1197637362
551	0.119730974
552	0.1197289287
553	0.1196829658
554	0.1196739309
555	0.1196231081
556	0.119614486
557	0.1195264163
558	0.1194973319
559	0.1194245644
560	0.1194203331
561	0.1193672962
562	0.1193262214
563	0.1193244013
564	0.1193198697
565	0.1192767778
566	0.1191719799
567	0.1190363806
568	0.1190110584
569	0.1190047255
570	0.1189512851
571	0.1189471664
572	0.1189425786
573	0.1189127248
574	0.1189114863
575	0.1189062042
576	0.1188446296
577	0.1188193449
578	0.118799483
579	0.1187926716
580	0.1187906263
581	0.1187767314
